accno,description,charttype,category,link,taxkey,datevautomatik
0005,"Rückständige fällige Einzahlungen auf Geschäftsanteile",A,A,,0,f
0010,"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte",A,A,,0,f
0015,Konzessionen,A,A,,0,f
0020,"Gewerbliche Schutzrechte",A,A,,0,f
0025,"Ähnliche Rechte und Werte",A,A,,0,f
0027,EDV-Software,A,A,AP_amount,9,f
0030,"Lizenzen an gewerblichen Schutzrechten",A,A,,0,f
0035,"Geschäfts- oder Firmenwert",A,A,,0,f
0038,"Anzahlungen auf Geschäfts- oder Firmenwert",A,A,,0,f
0039,"Geleistete Anzahlungen auf immaterielle Vermögensgegenstände",A,A,,0,f
0043,"Selbst geschaffene immaterielle Vermögensgegenstände",A,A,,0,f
0044,EDV-Software,A,A,,0,f
0045,"Lizenzen und Franchiseverträge",A,A,,0,f
0046,"Konzessionen und gewerbliche Schutzrechte",A,A,,0,f
0047,"Rezepte, Verfahren, Prototypen",A,A,,0,f
0048,"Immaterielle Vermögensgegenstände in Entwicklung",A,A,,0,f
0050,"Grundstücke, grundstücksgleiche Rechte und Bauten",A,A,,0,f
0059,"Grundstücksanteil des häuslichen Arbeitszimmers",A,A,,0,f
0060,"Grundstücksgleiche Rechte ohne Bauten",A,A,,0,f
0065,"Unbebaute Grundstücke",A,A,,0,f
0070,"Grundstücksgleiche Rechte",A,A,,0,f
0075,"Grundstücke mit Substanzverzehr",A,A,,0,f
0079,"Anzahlungen auf Grund und Boden",A,A,,0,f
0080,"Bauten auf eigenen Grundstücken",A,A,,0,f
0085,"Grundstückswerte eigener bebauter Grundstücke",A,A,,0,f
0090,Geschäftsbauten,A,A,AP_amount,9,f
0100,Fabrikbauten,A,A,,0,f
0110,Garagen,A,A,,0,f
0111,"Außenanlagen für Geschäfts-, Fabrik- und andere Bauten",A,A,,0,f
0112,"Hof- und Wegebefestigungen",A,A,,0,f
0113,"Einrichtungen für Geschäfts-, Fabrik- und andere Bauten",A,A,,0,f
0115,"Andere Bauten",A,A,,0,f
0120,"Geschäfts-, Fabrik- und andere Bauten im Bau",A,A,,0,f
0129,"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten",A,A,,0,f
0140,Wohnbauten,A,A,,0,f
0145,Garagen,A,A,,0,f
0146,Außenanlagen,A,A,,0,f
0147,"Hof- und Wegebefestigungen",A,A,,0,f
0148,"Einrichtungen für Wohnbauten",A,A,,0,f
0149,"Gebäudeteil des häuslichen Arbeitszimmers",A,A,,0,f
0150,"Wohnbauten im Bau auf eigenen Grundstücken",A,A,,0,f
0159,"Anzahlungen auf Wohnbauten",A,A,,0,f
0160,"Bauten auf fremden Grundstücken",A,A,,0,f
0165,Geschäftsbauten,A,A,,0,f
0170,Fabrikbauten,A,A,,0,f
0175,Garagen,A,A,,0,f
0176,Außenanlagen,A,A,,0,f
0177,"Hof- und Wegebefestigungen",A,A,,0,f
0178,"Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten",A,A,,0,f
0179,"Andere Bauten",A,A,,0,f
0180,"Geschäfts-, Fabrik- und andere Bauten im Bau",A,A,,0,f
0189,"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten",A,A,,0,f
0190,Wohnbauten,A,A,,0,f
0191,Garagen,A,A,,0,f
0192,Außenanlagen,A,A,,0,f
0193,"Hof- und Wegebefestigungen",A,A,,0,f
0194,"Einrichtungen für Wohnbauten",A,A,,0,f
0195,"Wohnbauten im Bau auf fremden Grundstücken",A,A,,0,f
0199,"Anzahlungen auf Wohnbauten",A,A,,0,f
0200,"Techn.Anlagen und Maschinen",A,A,AP_amount,9,f
0210,Maschinen,A,A,AP_amount,9,f
0220,"Maschinengebundene Werkzeuge",A,A,,0,f
0240,"Technische Anlagen",A,A,,0,f
0260,"Transportanlagen und Ähnliches",A,A,,0,f
0280,Betriebsvorrichtungen,A,A,,0,f
0290,"Technische Anlagen und Maschinen im Bau",A,A,,0,f
0299,"Anzahlungen auf technische Anlagen und Maschinen",A,A,,0,f
0300,"Andere Anlagen, Betriebs- und Geschäftsausstattung",A,A,,0,f
0310,"Andere Anlagen",A,A,,0,f
0320,Pkw,A,A,,0,f
0350,Lkw,A,A,,0,f
0380,Sonst.Transportmittel,A,A,AP_amount,9,f
0400,Betriebsausstattung,A,A,AP_amount,9,f
0410,Geschäftsausstattung,A,A,AP_amount,9,f
0420,Büroeinrichtung,A,A,AP_amount,9,f
0430,Ladeneinrichtung,A,A,AP_amount,9,f
0440,Werkzeuge,A,A,AP_amount,9,f
0450,"Einbauten in fremde Grundstücke",A,A,,0,f
0460,"Gerüst- und Schalungsmaterial",A,A,,0,f
0480,"Geringwertige Wirtschaftsg.b.410EUR",A,A,AP_amount,9,f
0485,"Wirtschaftsgüter (Sammelposten)",A,A,,0,f
0490,"Sonstige Betriebs- und Geschäftsausstattung",A,A,,0,f
0498,"Andere Anlagen im Bau",A,A,,0,f
0499,"Anzahlungen auf andere Anlagen",A,A,,0,f
0500,"Anteile an verbundenen Unternehmen",A,A,,0,f
0501,"Anteile an verbundenen Unternehmen, Personengesellschaften",A,A,,0,f
0502,"Anteile an verbundenen Unternehmen, Kapitalgesellschaften",A,A,,0,f
0503,"Anteile an herrschender Gesellschaft, Kapitalgesellschaften",A,A,,0,f
0504,"Anteile an herrschender Gesellschaft",A,A,,0,f
0505,"Ausleihungen an verbundene Unternehmen",A,A,,0,f
0506,"Ausleihungen an verbundenen Unternehmen, Personengesellschaften",A,A,,0,f
0507,"Ausleihungen an verbundenen Unternehmen, Kapitalgesellschaften",A,A,,0,f
0508,"Ausleihungen an verbundenen Unternehmen, Einzelunternehmen",A,A,,0,f
0509,"Anteile an herrschender Gesellschaft, Personengesellschaften",A,A,,0,f
0510,Beteiligungen,A,A,,0,f
0513,"Typisch stille Beteiligungen",A,A,,0,f
0516,"Atypisch stille Beteiligungen",A,A,,0,f
0517,"Beteiligungen an Kapitalgesellschaften",A,A,,0,f
0518,"Beteiligungen an Personengesellschaften",A,A,,0,f
0519,"Beteiligung einer GmbH & Co. KG",A,A,,0,f
0520,"Ausleihungen an Unternehmen mit Beteiligungsverhältnis",A,A,,0,f
0523,"Ausleihungen an Unternehmen mit Beteiligungsverhältnis, Personengesellschaften",A,A,,0,f
0524,"Ausleihungen an Unternehmen mit Beteiligungsverhältnis, Kapitalgesellschaften",A,A,,0,f
0525,"Wertpapiere des Anlagevermögens",A,A,,0,f
0530,"Übrige sonstige Ausleihungen",A,A,,0,f
0535,"Festverzinsliche Wertpapiere",A,A,,0,f
0538,"Anteile einer GmbH & Co. KG an einer Komplementär-GmbH",A,A,,0,f
0540,"Übrige sonstige Ausleihungen",A,A,,0,f
0550,Darlehen,A,A,,0,f
0570,"Genossenschaftsanteile zum langfristigen Verbleib",A,A,,0,f
0580,"Ausleihungen an Gesellschafter",A,A,,0,f
0582,"Ausleihungen an GmbH-Gesellschafter",A,A,,0,f
0584,"Ausleihungen an persönlich haftende Gesellschafter",A,A,,0,f
0586,"Ausleihungen an Kommanditisten",A,A,,0,f
0590,"Ausleihungen an nahe stehende Personen",A,A,,0,f
0595,"Rückdeckungsansprüche aus Lebensversicherungen",A,A,,0,f
0600,"Anleihen nicht konvertibel",A,A,,0,f
0601,"- Restlaufzeit bis 1 Jahr",A,A,,0,f
0605,"Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0610,"Restlaufzeit größer 5 Jahre",A,A,,0,f
0615,"Anleihen konvertibel",A,A,,0,f
0616,"Restlaufzeit bis 1 Jahr",A,A,,0,f
0620,"Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0625,"Restlaufzeit größer 5 Jahre",A,A,,0,f
0630,"Verbindlichkeiten gegenüber Kreditinstituten",A,A,,0,f
0631,"Vblk.geg.Kreditinst.- Restlaufzeit b.1 Jahr",A,A,,0,f
0640,"Vblk.geg.Kreditinst.- Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0650,"Vblk.geg.Kreditinst.- Restlaufzeit grösser als 5 Jahre",A,A,,0,f
0660,"Verbindlichkeiten aus Teilzahlungsverträgen",A,A,,0,f
0661,"Restlaufzeit bis 1 Jahr",A,A,,0,f
0670,"Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0680,"Restlaufzeit größer 5 Jahre",A,A,,0,f
0690,"Verbindlichkeiten gegenüber Kreditinstituten vor Restlaufzeitdifferenzierung",A,A,,0,f
0699,"Gegenkonto bei Aufteilung der Konten",A,A,,0,f
0700,"Verbindlichkeiten gegenüber verbundenen Unternehmen",A,A,,0,f
0701,"Restlaufzeit bis 1 Jahr",A,A,,0,f
0705,"Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0710,"Restlaufzeit größer 5 Jahre",A,A,,0,f
0715,"Verbindlichkeiten gegenüber Unternehmen mit Beteiligungsverhältnis",A,A,,0,f
0716,"Restlaufzeit bis 1 Jahr",A,A,,0,f
0720,"Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0725,"Restlaufzeit größer 5 Jahre",A,A,,0,f
0730,"Verbindlichkeiten gegenüber Gesellschaftern",A,A,,0,f
0731,"Restlaufzeit bis 1 Jahr",A,A,,0,f
0740,"Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0750,"Restlaufzeit größer 5 Jahre",A,A,,0,f
0755,"Verbindlichkeiten für offene Ausschüttungen",A,A,,0,f
0760,"Verbindlichkeiten gegenüber typisch stillen Gesellschaftern",A,A,,0,f
0761,"Restlaufzeit bis 1 Jahr",A,A,,0,f
0764,"Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0767,"Restlaufzeit größer 5 Jahre",A,A,,0,f
0770,"Verbindlichkeiten gegenüber atypisch stillen Gesellschaftern",A,A,,0,f
0771,"Restlaufzeit bis 1 Jahr",A,A,,0,f
0774,"Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0777,"Restlaufzeit größer 5 Jahre",A,A,,0,f
0780,"Partiarische Darlehen",A,A,,0,f
0781,"Restlaufzeit bis 1 Jahr",A,A,,0,f
0784,"Restlaufzeit 1 bis 5 Jahre",A,A,,0,f
0787,"Restlaufzeit größer 5 Jahre",A,A,,0,f
0790,"Sonstige Verbindlichkeiten vor Restlaufzeitdifferenzierung",A,A,,0,f
0799,"Gegenkonto bei Aufteilung der Konten",A,A,,0,f
0800,"Gezeichnetes Kapital",A,Q,,0,f
0809,"Kapitalerhöhung aus Gesellschaftsmitteln",A,Q,,0,f
0810,"Geschäftsguthaben der verbleibenden Mitglieder",A,Q,,0,f
0811,"Geschäftsguthaben der ausscheidenden Mitglieder",A,Q,,0,f
0812,"Geschäftsguthaben aus gekündigten Geschäftsanteilen",A,Q,,0,f
0813,"Rückständige fällige Einzahlungen",A,Q,,0,f
0815,"Gegenkonto Rückständige fällige Einzahlungen",A,Q,,0,f
0819,"Erworbene eigene Anteile",A,Q,,0,f
0820,"Ausstehende Einlagen auf das gezeichnete Kapital",A,Q,,0,f
0830,"Ausstehende Einlagen auf das gezeichnete Kapital, eingefordert",A,Q,,0,f
0839,Nachschüsse,A,Q,,0,f
